Nama_Tanaman,Kecamatan,pH_Tanah,Suhu_C,Curah_Hujan_mm,Elevasi_mdpl,Ketersediaan_Air,Intensitas_Matahari_jam,Nama_Varietas
Ketimun,Sawang,5.42,25.0,2200.0,381.0,Tinggi,6126.960694028188,Hercules F1
Ketimun,Nisam,5.6,26.5,1947.0,31.0,Tinggi,6260.940264934119,Hercules F1
Ketimun,Nisam Antara,5.47,25.2,2181.0,459.0,Tinggi,6531.929958764356,Hercules F1
Ketimun,Banda Baro,5.62,26.4,1986.0,35.0,Tinggi,4782.049970056818,Hercules F1
Ketimun,Kuta Makmur,5.67,26.3,2061.0,141.0,Tinggi,6546.841915671623,Hercules F1
Ketimun,Simpang Keramat,5.59,26.1,2152.0,165.0,Tinggi,6529.369338072287,Hercules F1
Ketimun,Syamtalira Bayu,5.59,26.4,1951.0,20.0,Sedang,613.0438090018905,Hercules F1
Ketimun,Geureudong Pase,5.4,24.2,2267.0,477.0,Tinggi,6534.342143515329,Hercules F1
Ketimun,Meurah Mulia,5.54,26.6,2084.0,18.0,Sedang,6465.604140110678,Hercules F1
Ketimun,Matangkuli,5.45,26.7,2130.0,12.0,Sedang,6664.206495020433,Hercules F1
Ketimun,Paya Bakong,5.29,25.7,2263.0,81.0,Sedang,6609.990728501922,Hercules F1
Ketimun,Pirak Timu,5.15,26.3,2111.0,13.0,Sedang,6649.062535244791,Hercules F1
Ketimun,Cot Girek,5.17,25.6,2404.0,124.0,Sedang,6607.476077383149,Hercules F1
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,Rendah,6328.60527414451,Hercules F1
Ketimun,Langkahan,5.1,25.8,2429.0,71.0,Sedang,6647.226653775745,Hercules F1
Ketimun,Seunuddon,6.09,27.2,2056.0,4.0,Rendah,4279.258827435522,Hercules F1
Ketimun,Baktiya,5.37,27.0,2091.0,11.0,Rendah,6742.96132966782,Hercules F1
Ketimun,Baktiya Barat,5.77,27.1,2006.0,4.0,Rendah,6735.472882415625,Hercules F1
Ketimun,Lhoksukon,5.22,26.9,2091.0,12.0,Rendah,6692.166862982599,Hercules F1
Ketimun,Tanah Luas,5.49,25.2,2200.0,239.0,Sedang,6589.066733734791,Hercules F1
Ketimun,Nibong,5.51,26.7,2127.0,17.0,Rendah,6657.875043215222,Hercules F1
Ketimun,Samudera,5.7,26.7,1999.0,7.0,Rendah,1269.349319014881,Hercules F1
Ketimun,Syamtalira Aron,5.64,26.7,2000.0,5.0,Rendah,2552.2023541894946,Hercules F1
Ketimun,Tanah Pasir,5.9,,1979.0,5.0,Rendah,0.0,Hercules F1
Ketimun,Lapang,6.05,27.1,2022.0,4.0,Rendah,1720.9210209773937,Hercules F1
