Nama_Tanaman;Nama_Varietas
Ketimun;Hercules F1
Ketimun;Mercy F1
Ketimun;Roman F1
Kacang Panjang;Parade Tavi
Kacang Panjang;Kanton Tavi
Kacang Panjang;KP-1
Kangkung;Bangkok LP-1
Kangkung;Bisi Kangkung
Kangkung;Sutra
Terung;Mustang F1
Terung;Laguna F1
Terung;Antaboga
Cabe Rawit;Dewata F1
Cabe Rawit;Bara
Cabe Rawit;Taruna
Cabe Keriting;TM 999
Cabe Keriting;Lado F1
Cabe Keriting;Kencana
Cabe Besar;Tanjung 2
Cabe Besar;Gada MK F1
Cabe Besar;Laris F1
Tomat;Servo F1
Tomat;Ratna
Tomat;Intan
Semangka;Crimson Sweet
Semangka;Sugar Baby
Semangka;Amara F1
Bayam;Maestro
Bayam;Bangkok
Bayam;Cempaka
