Nama_Tanaman,Kecamatan,pH_Tanah,Suhu_C,Curah_Hujan_mm,Elevasi_mdpl,Ketersediaan_Air,Intensitas_Matahari_jam,Nama_Varietas,Nama_Varietas_Encoded,Nama_Tanaman_Encoded,Kecamatan_Encoded
Ketimun,Geureudong Pase,5.04,24.02,2267.0,477,Sedang,6.53,Hercules F1,10,6,5
Ketimun,Kuta Makmur,6.07,26.03,2061.0,141,Tinggi,6.55,Hercules F1,10,6,6
Ketimun,Langkahan,5.75,20.15,2854.96,79,Sedang,6.35,Hercules F1,10,6,7
Ketimun,Lapang,6.05,27.01,2022.0,4,Rendah,17.21,Hercules F1,10,6,8
Ketimun,Dewantara,6.12,25.56,1932.0,9,Sedang,6.65,Hercules F1,10,6,4
Ketimun,Matangkuli,5.45,26.07,2130.0,12,Sedang,6.66,Hercules F1,10,6,10
Ketimun,Meurah Mulia,5.54,26.06,2084.0,18,Sedang,6.47,Hercules F1,10,6,11
Ketimun,Muara Batu,6.11,25.56,1941.0,10,Sedang,6.66,Hercules F1,10,6,12
Ketimun,Nibong,5.51,26.07,2127.0,17,Rendah,6.66,Hercules F1,10,6,13
Ketimun,Nisam,5.06,26.05,1947.0,31,Tinggi,6.26,Hercules F1,10,6,14
Ketimun,Nisam Antara,4.67,26.02,2008.22,467,Tinggi,6.4,Hercules F1,10,6,15
Ketimun,Paya Bakong,5.29,25.07,2091.27,81,Sedang,6.61,Hercules F1,10,6,16
Ketimun,Pirak Timu,5.15,26.03,2111.0,13,Sedang,6.65,Hercules F1,10,6,17
Ketimun,Samudera,5.07,26.07,1999.0,7,Rendah,1.27,Hercules F1,10,6,18
Ketimun,Sawang,5.42,25.0,2200.0,381,Tinggi,6.13,Hercules F1,10,6,19
Ketimun,Seunuddon,6.09,27.02,2056.0,4,Rendah,4.28,Hercules F1,10,6,20
Ketimun,Simpang Keramat,5.59,26.01,2152.0,165,Tinggi,6.53,Hercules F1,10,6,21
